evidence_id,source_id,source_region,source_hemisphere,subgroup,measurement,direction,effect_statistic,effect,ci95_lower,ci95_upper,uncertainty,population,medication,stage,source_locator,interpretation
S01_Hippocampus,S01,Hippocampus,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",lower,Cohen_d,-0.46,-0.58,-0.34,p=4.85e-14;I2=71%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Amygdala,S01,Amygdala,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",lower,Cohen_d,-0.31,-0.43,-0.19,p=3.59e-7;I2=71%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Thalamus,S01,Thalamus,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",lower,Cohen_d,-0.31,-0.44,-0.18,p=1.31e-6;I2=74%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Accumbens,S01,Accumbens,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",lower,Cohen_d,-0.25,-0.36,-0.14,p=1.54e-5;I2=68%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Caudate,S01,Caudate,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",no_detected_difference,Cohen_d,0.02,-0.12,0.16,p=.73;I2=79%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Putamen,S01,Putamen,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",no_detected_difference,Cohen_d,0.08,-0.09,0.25,p=.36;I2=86%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S01_Pallidum,S01,Pallidum,bilateral,diagnostic group,"FreeSurfer subcortical volume adjusted for age, sex and ICV",nominal_higher_not_Bonferroni_significant,Cohen_d,0.21,0.04,0.39,p=.02;I2=87%;Bonferroni alpha=.0056,2028 schizophrenia;2540 controls,mixed; moderators assessed,mixed duration,Table 1; Supplementary Table S1; moderator results,Bilateral mean volumes. Large cross-study heterogeneity; hemisphere-specific effect not inferred.
S06_Frontal_GM,S06,Frontal_GM,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.49,-0.64,-0.34,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Superior_Frontal,S06,Superior_Frontal,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.29,-0.43,-0.16,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Middle_Frontal,S06,Middle_Frontal,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.32,-0.48,-0.17,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Inferior_Frontal,S06,Inferior_Frontal,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.41,-0.56,-0.25,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Orbitofrontal,S06,Orbitofrontal,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.21,-0.37,-0.05,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_ACC,S06,ACC,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.34,-0.46,-0.22,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Posterior_Cingulate,S06,Posterior_Cingulate,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.32,-0.56,-0.09,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Temporal_GM,S06,Temporal_GM,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.43,-0.6,-0.26,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Hippocampus,S06,Hippocampus,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.52,-0.6,-0.44,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Amygdala,S06,Amygdala,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.31,-0.43,-0.19,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Parahippocampal,S06,Parahippocampal,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.24,-0.39,-0.09,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column","Bilateral source region; not an AAL3 parcel effect. Trim-and-fill estimate -.13, CI[-.30,.04] includes zero."
S06_Fusiform,S06,Fusiform,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.52,-0.76,-0.29,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Superior_Temporal_GM,S06,Superior_Temporal_GM,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.58,-0.75,-0.41,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Heschl,S06,Heschl,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.29,-0.5,-0.09,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Insula,S06,Insula,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.44,-0.67,-0.2,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Parietal_GM,S06,Parietal_GM,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.31,-0.54,-0.08,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column","Bilateral source region; not an AAL3 parcel effect. Trim-and-fill estimate -.20, CI[-.46,.06] includes zero."
S06_Occipital_GM,S06,Occipital_GM,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.22,-0.37,-0.07,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
