field_id,description,type,unit,category_codes,knhanes_fields,knhanes_native_unit,output_conversion_from_native,measurement_definition
21022,Age at recruitment,numeric,years,,age,years,x,Age 80 denotes 80+; predefine age 40–70 for both source and target to remain within source age range and the 2024 BIA examination age range.
31,Gender,categorical,binary code,0=female;1=male,sex,1 male; 2 female,1 -> 1; 2 -> 0,Comparable measured construct in all three years.
709,Number in household,numeric,persons,,cfam,persons; 6 means >=6,1..6 retained; 9 -> missing,Public household size is top-coded at 6. Apply the same cap to UKB synthetic and real features.
4079,"Diastolic blood pressure, automated reading",numeric,mmHg,,HE_dbp,mmHg,x,Official final reading is mean of second and third readings. Adult automated oscillometric method used consistently 2022–2024; source instrument/aggregation differs.
4080,"Systolic blood pressure, automated reading",numeric,mmHg,,HE_sbp,mmHg,x,Official final reading is mean of second and third readings. Adult automated oscillometric method used consistently 2022–2024; source instrument/aggregation differs.
102,"Pulse rate, automated reading",numeric,bpm,,HE_PLS_30;HE_mPLS,counts/30 seconds; counts/60 seconds,2*HE_PLS_30 when observed; otherwise HE_mPLS,Convert manual 30-second counts to beats/minute; 60-second field fills alternative measurement protocol. Both missing -> missing; if both observed report discordance.
48,Waist circumference,numeric,cm,,HE_wc,cm,x,Comparable measured construct in all three years.
21002,Weight,numeric,kg,,HE_wt,kg,x,Comparable measured construct in all three years.
21001,Body mass index (BMI),numeric,kg/m^2,,HE_BMI,kg/m^2,x,Comparable measured construct in all three years.
50,Standing height,numeric,cm,,HE_ht,cm,x,Comparable measured construct in all three years.
23116,Leg fat mass (left),numeric,kg,,BIA_FLL,kg,x,BIA InBody970 estimated mass/percentage; same physiological construct but different device from UKB. BIA ages >=10 in 2022/2023 and >=40 in 2024; excludes pregnancy and implantable cardiac devices.
23112,Leg fat mass (right),numeric,kg,,BIA_FRL,kg,x,BIA InBody970 estimated mass/percentage; same physiological construct but different device from UKB. BIA ages >=10 in 2022/2023 and >=40 in 2024; excludes pregnancy and implantable cardiac devices.
