phenotype,target_name,target_field,available_years,case_value,noncase_value,analysis_age_min,analysis_age_max,target_definition
I9_HYPTENSESS,Hypertension,DI1_dg,2022;2023;2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. KNHANES reports physician-diagnosed hypertension without confirming essential versus secondary hypertension.
E4_HYPERCHOL,Dyslipidaemia,DI2_dg,2022;2023;2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. KNHANES dyslipidaemia is broader than pure hypercholesterolaemia. Must not label this as an exact hypercholesterolaemia validation.
E4_DM2,"Diabetes, type unspecified",DE1_dg,2022;2023;2024,1,0,40,70,"Cross-sectional reported physician diagnosis; not incident disease prediction. The physician-diagnosis question does not distinguish type 1, type 2, or gestational diabetes. Do not infer type from insulin use or age."
N14_CHRONKIDNEYDIS,"Kidney disease, chronicity unspecified",DN1_dg,2022;2023;2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. KNHANES asks kidney disease without establishing duration or CKD stage; eGFR threshold is not used to manufacture a target label.
J10_ASTHMA_MAIN_EXMORE,Asthma,DJ4_dg,2022;2023;2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. Physician-diagnosed asthma lacks the UKB main-diagnosis restriction and expanded control exclusions. In 2024 children also answer; the analysis remains age 40–70.
I9_STR_SAH,Stroke,DI3_dg,2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. Self-reported physician-diagnosed stroke is not subtype-resolved; 2022 and 2023 do not contain this respondent diagnosis field.
I9_ISCHHEART,Myocardial infarction or angina,DI4_dg,2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. MI/angina is narrower than all I20–I25 ischaemic heart disease. Use official DI4_dg 0/1 and audit against DI5_dg and DI6_dg; do not convert unknown components to 0.
M13_OSTEOPOROSIS,Osteoporosis,DM4_dg,2024,1,0,40,70,"Cross-sectional reported physician diagnosis; not incident disease prediction. Use physician diagnosis, not DX_OST or T-score thresholds. Both sexes are eligible; the diagnosis question is adult-wide even though DXA measurement has a separate age restriction."
G6_SLEEPAPNO,Obstructive sleep apnoea,BP17_dg,2022;2023,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. The question specifically requires a physician diagnosis of obstructive sleep apnoea through sleep testing in hospital or at home; UKB G47.3 sleep apnoea is broader. Absent in 2024.
COPD_MODE,Physician-diagnosed COPD,HE_PFTdr,2024,1,0,40,70,Cross-sectional reported physician diagnosis; not incident disease prediction. Spirometry questionnaire asks diagnosed COPD including chronic bronchitis/emphysema; this is not the UKB ICD-mode construction. Do not use HE_COPD1 (FEV1/FVC-defined obstruction).
