space,column_index,label_id,feature_name,unit,measurement,coverage_status,source_ids,evidence_ids,observed_source_directions,source_measurements,exact_target_measurement_effect_available,numeric_generator_effect_assigned,conflict_or_context_note,coverage_limit
FIRST,0,10,Left_Thalamus,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01;S06,S01_Thalamus;S06_naive_Thalamus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,1,49,Right_Thalamus,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01;S06,S01_Thalamus;S06_naive_Thalamus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,2,11,Left_Caudate,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S06;S17,S01_Caudate;S06_naive_Caudate;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,3,50,Right_Caudate,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S06;S17,S01_Caudate;S06_naive_Caudate;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,4,12,Left_Putamen,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S12;S17,S01_Putamen;S12_Putamen;S17_subtype2,higher;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;QSM/R2* and manually delineated regional volumes are separate endpoints;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,5,51,Right_Putamen,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S12;S17,S01_Putamen;S12_Putamen;S17_subtype2,higher;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;QSM/R2* and manually delineated regional volumes are separate endpoints;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,6,13,Left_Pallidum,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S17,S01_Pallidum;S17_subtype2,higher;nominal_higher_not_Bonferroni_significant,"FreeSurfer subcortical volume adjusted for age, sex and ICV;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,7,52,Right_Pallidum,mm3,FSL_FIRST_boundary_corrected_volume,conflicting,S01;S17;S18,S01_Pallidum;S18_pallidal_treatment;S17_subtype2,higher;nominal_higher_not_Bonferroni_significant;treatment_increase_placebo_decrease,"FreeSurfer subcortical volume adjusted for age, sex and ICV;VBM pallidal GM volume cluster; treatment-time interaction;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,8,16,BrainStem,mm3,FSL_FIRST_boundary_corrected_volume,extrapolated,S07,S07_BrainStem,lower,MRI segmented subcortical and brainstem volume,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,9,17,Left_Hippocampus,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01;S06,S01_Hippocampus;S06_naive_Hippocampus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
