space,column_index,label_id,feature_name,factor_family,homolog_group,baseline_median_assumed,background_log_sd_assumed,source_evidence_ids,reference_volume_d,transfer_factor_assumed,central_standardized_effect,epistemic_sd_metadata_only,effect_provenance,rationale,all_coverage_source_ids
FIRST,0,10,Left_Thalamus,thalamus,Thalamus,7000,0.12,S01_Thalamus,-0.31,1.0,-0.31,0.0663265306122449,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06
FIRST,1,49,Right_Thalamus,thalamus,Thalamus,7000,0.12,S01_Thalamus,-0.31,1.0,-0.31,0.0663265306122449,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06
FIRST,2,11,Left_Caudate,basal_ganglia,Caudate,3500,0.12,S01_Caudate,0.02,1.0,0.02,0.07142857142857144,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06;S17
FIRST,3,50,Right_Caudate,basal_ganglia,Caudate,3500,0.12,S01_Caudate,0.02,1.0,0.02,0.07142857142857144,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06;S17
FIRST,4,12,Left_Putamen,basal_ganglia,Putamen,4500,0.12,S01_Putamen,0.08,1.0,0.08,0.08673469387755102,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S12;S17
FIRST,5,51,Right_Putamen,basal_ganglia,Putamen,4500,0.12,S01_Putamen,0.08,1.0,0.08,0.08673469387755102,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S12;S17
FIRST,6,13,Left_Pallidum,basal_ganglia,Pallidum,1800,0.12,S01_Pallidum,0.21,1.0,0.21,0.0892857142857143,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S17
FIRST,7,52,Right_Pallidum,basal_ganglia,Pallidum,1800,0.12,S01_Pallidum,0.21,1.0,0.21,0.0892857142857143,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S17;S18
FIRST,8,16,BrainStem,brainstem,BrainStem,22000,0.12,S07_BrainStem,,,-0.1,0.2,explicit_assumption,Weak assumed standardized effect informed by naive-FEP brainstem direction; F statistic is not converted into d.,S07
FIRST,9,17,Left_Hippocampus,limbic,Hippocampus,3800,0.12,S01_Hippocampus,-0.46,1.0,-0.46,0.06122448979591835,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06
