phenotype,field_id,description,unit,relationship,direct_process_coefficients,shared_liability_coefficients,background_traits,rule
I9_HYPTENSESS,21022,Age at recruitment,years,indirect,none,age=0.65,age,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,31,Gender,binary code,indirect,none,none explicitly shared,male female menopause,No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used.
I9_HYPTENSESS,709,Number in household,persons,indirect,none,age=0.65,age,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,4079,"Diastolic blood pressure, automated reading",mmHg,direct,effect:dbp=11; management:dbp=-8,age=0.65; bmi=0.65; vascular=0.9,age bmi vascular,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,4080,"Systolic blood pressure, automated reading",mmHg,direct,effect:sbp=23; effect:dbp=11; management:sbp=-18; management:dbp=-8,age=0.65; bmi=0.65; vascular=0.9,age bmi vascular,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,102,"Pulse rate, automated reading",bpm,direct,management:pulse=-2.5,age=0.65; bmi=0.65,age bmi smoke,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,48,Waist circumference,cm,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,21002,Weight,kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,21001,Body mass index (BMI),kg/m^2,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,50,Standing height,cm,indirect,none,age=0.65,age male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
