Field_ID,Description,Unit,generation_rule,missingness_assumption
21022,Age at recruitment,years,"TN(55,8;39,70); a=(age−55)/10",None
31,Gender,binary code,"Bernoulli(0.48); assumed 0=female, 1=male",None
699,Length of time at current address,years,"clip(12+5 a+6 Z,0,age)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
709,Number in household,persons,1+Bernoulli(σ(1.2−0.25 a))+Bernoulli(σ(−0.6−0.9 a))+Bernoulli(σ(−1.5−0.9 a)),Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
796,Distance between home and job workplace,miles,"employed × clip(exp(1.8+0.30 access+0.70 Z),0.2,120)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
757,Time employed in main current job,years,"employed × clip(10+3.5 a+3 Z,0,age−education)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
767,Length of working week for main job,hours,"employed × clip(36+4 sex+7 Z,8,65)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
777,Frequency of travelling from home to job workplace,times/week,"employed × clip(round(workhours/8+0.5 Z),1,6)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
845,Age completed full time education,years,"clip(round(18+2.5 access−0.35 a+1.4 Z),12,30)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
4079,"Diastolic blood pressure, automated reading",mmHg,"clip(76+0.75(BMI−25)+1.3 a+2 inflammation−1.2 activity+5 Z,55,110)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
4080,"Systolic blood pressure, automated reading",mmHg,"diastolic+clip(41+3 a+0.30(BMI−25)+5 Z,25,72)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
102,"Pulse rate, automated reading",bpm,"clip(70−3 activity+2 current+1.5 inflammation+6 Z,45,110)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
46,Hand grip strength (left),kg,"clip(right_grip−1+0.8 Z,4,75)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
47,Hand grip strength (right),kg,"clip(23+13 sex+0.23(lean−45)+1.8 muscle−1.3 a+2 Z,5,70)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
48,Waist circumference,cm,"clip(79+2.1(BMI−23)+6 sex+0.8 a+3 Z,60,150)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
21002,Weight,kg,"clip([18+25 σ(−0.75+0.55 adip+0.16 a)](height/100)²,46,160)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
21001,Body mass index (BMI),kg/m^2,"weight/(height/100)², exact before float32 export",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
49,Hip circumference,cm,"clip(94+1.6(BMI−23)+3(1−sex)+3 Z,77,160)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
