column_index,label_id,feature_name,atlas,disease,coverage_status,evidence_consistency,association_count,reference_ids,search_scope,search_alias,coverage_limit
0,10,L_Thalamus,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Thalamus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
0,10,L_Thalamus,FIRST,MCI,direct,see_individual_associations,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Thalamus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
1,49,R_Thalamus,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Thalamus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
1,49,R_Thalamus,FIRST,MCI,direct,see_individual_associations,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Thalamus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
2,11,L_Caudate,FIRST,AD,parent_region_extrapolation,conflicting_directions,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Caudate,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
2,11,L_Caudate,FIRST,MCI,direct,conflicting_directions,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Caudate,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
3,50,R_Caudate,FIRST,AD,parent_region_extrapolation,conflicting_directions,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Caudate,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
3,50,R_Caudate,FIRST,MCI,direct,conflicting_directions,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Caudate,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
4,12,L_Putamen,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Putamen,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
4,12,L_Putamen,FIRST,MCI,direct,mixed_significance_or_measurement,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Putamen,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
