phenotype,name,domain,icd10_regex,control_exclude,source_column,event_age_column,metadata_reference,definition_caveat
I9_HYPTENSESS,"Hypertension, essential",circulatory,I10,I9_HYPERTENSION,Incident_I9_HYPTENSESS,Fuduration_I9_HYPTENSESS,https://r9.risteys.finngen.fi/endpoints/I9_HYPTENSESS,Chosen over I9_HYPTENS to avoid I11/I13 code intersections with heart failure.
M13_ARTHROSIS,Arthrosis,musculoskeletal,M1[5-9],M13_ARTHROPATHIES,Incident_M13_ARTHROSIS,Fuduration_M13_ARTHROSIS,local_atlas_disease_trait_definitions.xlsx,"Single osteoarthritis/arthrosis family, M15–M19; exclude knee/hip/polyarthrosis/other-arthrosis alternatives."
K11_DIVERTIC,Diverticular disease of intestine,digestive,K57,K11_INTESTOTH,Incident_K11_DIVERTIC,Fuduration_K11_DIVERTIC,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
E4_HYPERCHOL,Pure hypercholesterolaemia,metabolic,E780,E4_METABOLIA,Incident_E4_HYPERCHOL,Fuduration_E4_HYPERCHOL,https://r10.risteys.finngen.fi/endpoints/E4_HYPERCHOL,Includes familial hypercholesterolaemia in official definition; raw UKB implementation version unverified.
N14_PROSTHYPERPLA,Hyperplasia of prostate,urological,N40,N14_MALEGEN,Incident_N14_PROSTHYPERPLA,Fuduration_N14_PROSTHYPERPLA,local_atlas_disease_trait_definitions.xlsx,Male-specific concept: validate sex-by-eligibility counts before fitting; preserve source eligibility.
K11_REFLUX,Gastro-oesophageal reflux disease,digestive,K21,K11_OESSTODUO,Incident_K11_REFLUX,Fuduration_K11_REFLUX,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
I9_AF,Atrial fibrillation and flutter,circulatory,I48,FG_CVD,Incident_I9_AF,Fuduration_I9_AF,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
J10_ASTHMA_MAIN_EXMORE,Asthma (only as main-diagnosis) (more control exclusions),respiratory,J45|J46,J10_ASTHMA|ALLERG_ASTHMA|VOCALCORDDYS|I9_HEARTFAIL|J10_HYPERSPNEUMONI|ASTHMA_EXCL,Incident_J10_ASTHMA_MAIN_EXMORE,Fuduration_J10_ASTHMA_MAIN_EXMORE,https://r10.risteys.finngen.fi/endpoints/J10_ASTHMA_MAIN_EXMORE,Main-diagnosis restriction; excludes specified diseases from controls. Not identical to self-reported ever-asthma.
I9_ISCHHEART,Ischaemic heart diseases,circulatory,I2[0-5],,Incident_I9_ISCHHEART,Fuduration_I9_ISCHHEART,https://r10.risteys.finngen.fi/endpoints/I9_ISCHHEART,"Includes MI, angina, coronary atherosclerosis/revascularisation; do not select these separately."
H7_CATARACTSENILE,Senile cataract,ophthalmic,H25,H7_LENS,Incident_H7_CATARACTSENILE,Fuduration_H7_CATARACTSENILE,local_atlas_disease_trait_definitions.xlsx,Age-related/senile cataract H25; do not combine with H26 other cataract or H7_LENS.
E4_OBESITY,Obesity,metabolic,E66,E4_OBESITY_HYPER,Incident_E4_OBESITY,Fuduration_E4_OBESITY,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
E4_DM2,Type 2 diabetes,metabolic,E11,E4_DIABETES,Incident_E4_DM2,Fuduration_E4_DM2,https://r10.risteys.finngen.fi/endpoints/E4_DM2,Official metadata includes complications and medication/registry rules; preserve original UKB labels.
C3_PROSTATE_EXALLC,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",cancer,C61,C3_CANCER|C3_CANCER_WIDE_EXALLC,Incident_C3_PROSTATE_EXALLC,Fuduration_C3_PROSTATE_EXALLC,local_atlas_disease_trait_definitions.xlsx,Male-specific concept; validate sex-by-eligibility. Controls exclude other cancer endpoints; official atlas is not proof of UKB construction version.
F5_DEPRESSIO,Depression,psychiatric,F3[2-3],F5_MOOD,Incident_F5_DEPRESSIO,Fuduration_F5_DEPRESSIO,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
COPD_MODE,COPD (mode),respiratory,J44,ASTHMA_EXCL,Incident_COPD_MODE,Fuduration_COPD_MODE,https://r9.risteys.finngen.fi/endpoints/COPD_MODE,"Official definition uses ICD-10 mode %J44, not unrestricted COPD; raw UKB coding version unverified."
E4_HYTHYNAS,"Hypothyroidism, other/unspecified",endocrine,E03[8-9],E4_THYROID,Incident_E4_HYTHYNAS,Fuduration_E4_HYTHYNAS,https://r10.risteys.finngen.fi/endpoints/E4_HYTHYNAS,Not every cause of hypothyroidism; official metadata also has reimbursement/medication rules.
N14_CHRONKIDNEYDIS,Chronic kidney disease,renal,N18,N14_RENFAIL,Incident_N14_CHRONKIDNEYDIS,Fuduration_N14_CHRONKIDNEYDIS,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
F5_ANXIETY,Other anxiety disorders,psychiatric,F41[2-9],F5_NEUROTIC,Incident_F5_ANXIETY,Fuduration_F5_ANXIETY,local_atlas_disease_trait_definitions.xlsx,F41.2–F41.9 includes mixed anxiety/depressive disorder. Clinically distinct from F32/F33 depression but TRAIN case overlap must be checked.
D3_ANAEMIA_IRONDEF_NAS,Other and unspecified iron deficiency,hematological,D50,D3_NUTRIANAEMIA,Incident_D3_ANAEMIA_IRONDEF_NAS,Fuduration_D3_ANAEMIA_IRONDEF_NAS,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
M13_OSTEOPOROSIS,Osteoporosis,musculoskeletal,M8[0-2],M13_OSTEOCHONDRO,Incident_M13_OSTEOPOROSIS,Fuduration_M13_OSTEOPOROSIS,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
K11_CHOLELITH,Cholelithiasis,digestive,K80,K11_GALLBILPANC,Incident_K11_CHOLELITH,Fuduration_K11_CHOLELITH,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
I9_HEARTFAIL,"Heart failure, strict",circulatory,I50|I110|I130|I132,,Incident_I9_HEARTFAIL,Fuduration_I9_HEARTFAIL,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
K11_LIVER,Diseases of liver,digestive,K7,,Incident_K11_LIVER,Fuduration_K11_LIVER,local_atlas_disease_trait_definitions.xlsx,"Single broad liver-disease family, K70–K77; omit all liver subtypes. Interpret as a heterogeneous endpoint rather than a specific aetiology."
K11_IBS,Irritable bowel syndrome,digestive,K58,K11_INTESTOTH,Incident_K11_IBS,Fuduration_K11_IBS,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
M13_GOUT,Gout,musculoskeletal,M10,M13_ARTHROPATHIES,Incident_M13_GOUT,Fuduration_M13_GOUT,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
H7_GLAUCOMA,Glaucoma,ophthalmic,H4[0-2],,Incident_H7_GLAUCOMA,Fuduration_H7_GLAUCOMA,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
I9_STR_SAH,"Stroke, including SAH",circulatory,I60|I61|I63|I64,I9_STR_EXH|I9_TIA,Incident_I9_STR_SAH,Fuduration_I9_STR_SAH,local_atlas_disease_trait_definitions.xlsx,"Composite of stroke types, kept once; exclude all stroke subtype and broader cerebrovascular labels."
M13_RHEUMA,Rheumatoid arthritis,musculoskeletal,M0[5-6],M13_ARTHROPATHIES,Incident_M13_RHEUMA,Fuduration_M13_RHEUMA,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
G6_CARPTU,Carpal tunnel syndrome,neurological,G560,G6_NERPLEX,Incident_G6_CARPTU,Fuduration_G6_CARPTU,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
G6_SLEEPAPNO,Sleep apnoea,respiratory,G473,G6_NARCOCATA|G6_SLEEPDISOTH,Incident_G6_SLEEPAPNO,Fuduration_G6_SLEEPAPNO,local_atlas_disease_trait_definitions.xlsx,Preserve exact archived UKB Incident/Fuduration labels and eligibility; local atlas is a semantics source only.
