Field_ID,Category,Detail_Category,Description,Participants_N,Notes,Variable_Type,Observed_Min,Observed_P01,Observed_Median,Observed_P99,Observed_Max,Observed_Integer_Only,Observed_Allowed_Values,Unit,Unit_Source,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Missing_Rate,Observed_Decimal_Places_P95,Recommended_Decimal_Places,Suggested_Marginal_Distribution,Generation_Constraint
21022,Basic information,Age at recruitment,Age at recruitment,"502,150",,continuous,39,40,58,69,70,TRUE,,years,schema Prompts,continuous_numeric,39,70,,0,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [39, 70]; central 98% [40, 69]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
31,Basic information,Gender,Gender,"502,150",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema type + known field definition,binary_integer_code,0,1,"[0, 1]",0,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
699,Basic information,Household,Length of time at current address,"501,282",,continuous,0,0,16,46,70,TRUE,,years,schema Prompts,continuous_numeric,0,70,,0.0054,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0, 70]; central 98% [0, 46]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
709,Basic information,Household,Number in household,"499,890",,continuous,1,1,2,6,40,TRUE,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 29, 37, 38, 40]",persons,field meaning,bounded_integer_or_count,1,40,,0.0081,0,0,bounded empirical integer/count,"Integer values only; sample envelope [1, 40]; central 98% [1, 6]; retain realistic tails and NaN."
796,Basic information,Employment,Distance between home and job workplace,"265,388",,continuous,0,0,6,110,5000,TRUE,,miles,schema Prompts,continuous_numeric,0,5000,,0.5011,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 5000]; central 98% [0, 110]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
757,Basic information,Employment,Time employed in main current job,"286,897",,continuous,0,0,10,42,51,TRUE,,years,schema Prompts,continuous_numeric,0,51,,0.4266,0,0,bounded empirical quantile / transformed distribution,"Numeric values; sample envelope [0, 51]; central 98% [0, 42]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
767,Basic information,Employment,Length of working week for main job,"286,899",,continuous,0,5,38,62,160,TRUE,,hours,schema Prompts,continuous_numeric,0,160,,0.4309,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0, 160]; central 98% [5, 62]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
777,Basic information,Employment,Frequency of travelling from home to job workplace,"284,565",,continuous,0,0,5,10,44,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 25, 30, 40, 44]",times/week,schema Prompts,bounded_integer_or_count,0,44,,0.4344,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 44]; central 98% [0, 10]; retain realistic tails and NaN."
845,Basic information,Education,Age completed full time education,"336,555",,continuous,5,14,16,25,35,TRUE,,years,schema Prompts,continuous_numeric,5,35,,0.3368,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [5, 35]; central 98% [14, 25]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
4079,Physical measures,Blood pressure,"Diastolic blood pressure, automated reading","472,046",,continuous,47,60.5,81.5,107.5,133,FALSE,,mmHg,schema Prompts,continuous_numeric,47,133,,0.0574,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [47, 133]; central 98% [60.5, 107.5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
